City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,santiago de chuco,-8.15,-78.1833,13.21,83,100,2.86,PE,1698516771
199,zheleznodorozhnyy,55.7503,38.0042,0.34,96,100,4.47,RU,1698516771
200,mitu,1.1983,-70.1733,33.01,52,100,1.32,CO,1698516772
201,hun,29.1268,15.9477,26.19,19,62,2.93,LY,1698516563
202,corner brook,48.9667,-57.9484,11.09,95,100,3.25,CA,1698516772
203,sandy,40.572,-111.8606,7.59,55,0,5.66,US,1698516772
204,mungwi,-10.1732,31.3694,22.69,50,76,1.7,ZM,1698516772
205,carnarvon,-24.8667,113.6333,19.79,69,4,10.64,AU,1698516773
206,huambo,-12.7761,15.7392,18.02,80,99,3.66,AO,1698516773
207,kruisfontein,-34.0033,24.7314,11.93,67,99,6.86,ZA,1698516773
208,kandi,11.1342,2.9386,30.95,34,11,1.67,BJ,1698516773
209,ha'il,27.5219,41.6907,22.01,68,75,2.06,SA,1698516773
210,college,64.8569,-147.8028,-6.17,78,75,1.54,US,1698516738
211,hutchinson island south,27.2995,-80.2205,29.47,63,40,7.2,US,1698516774
212,lompoc,34.6391,-120.4579,23.77,63,0,8.75,US,1698516774
213,amos,48.5669,-78.1162,0.61,66,100,5.16,CA,1698516687
214,udachny,66.4167,112.4,-17.9,97,71,3.7,RU,1698516774
215,waajid,3.8096,43.2463,26.52,71,100,3.6,SO,1698516774
216,ciudad de armeria,18.9333,-103.9667,31.43,60,78,1.79,MX,1698516775
217,hakkari,37.5833,44.1667,8.88,81,20,1.03,TR,1698516775
218,alesund,62.4723,6.1549,4.86,72,0,4.63,NO,1698516775
219,ain beida,35.7964,7.3928,19.46,37,97,1.46,DZ,1698516775
220,san bernardo del viento,9.3533,-75.9524,26.13,85,100,5.3,CO,1698516775
221,tuy hoa,13.0833,109.3,24.94,92,84,1.59,VN,1698516776
222,nadi,-17.8,177.4167,23.0,88,20,1.03,FJ,1698516776
223,beloyarskiy,63.7119,66.6722,-11.11,94,19,1.34,RU,1698516776
224,buka,40.8108,69.1986,21.12,36,100,1.13,UZ,1698516776
225,mount pearl,47.5166,-52.7813,14.29,96,75,7.2,CA,1698516776
226,callao,-12.0667,-77.15,25.16,57,0,6.69,PE,1698516777
227,dolinsk,47.35,142.8,-0.71,79,1,1.61,RU,1698516777
228,puente alto,-33.6167,-70.5833,16.66,57,100,2.49,CL,1698516529
229,oriximina,-1.7656,-55.8661,38.18,26,51,4.34,BR,1698516777
230,barra do corda,-5.5,-45.25,40.85,20,52,3.51,BR,1698516777
231,senanga,-16.1167,23.2667,28.13,31,60,1.64,ZM,1698516778
232,marquette,46.5333,-87.6335,5.46,68,93,4.02,US,1698516778
233,maridi,4.9158,29.4742,20.84,97,98,1.95,SS,1698516778
234,sao vicente,-23.9631,-46.3919,32.1,85,97,2.39,BR,1698516778
235,lethem,3.3803,-59.7968,34.45,43,96,4.86,GY,1698516778
236,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,4.0,RU,1698516778
237,colchani,-20.3,-66.9333,14.46,8,38,8.72,BO,1698516779
238,barra de santo antonio,-9.4047,-35.5072,29.6,66,98,5.1,BR,1698516779
239,longyearbyen,78.2186,15.6401,-4.09,93,75,3.6,SJ,1698516779
240,idri,27.5,13.2667,26.84,17,23,3.51,LY,1698516779
241,torghay,49.6339,63.4981,6.54,88,100,8.26,KZ,1698516779
242,galliano,29.4422,-90.2992,29.44,48,0,4.12,US,1698516780
243,harnai,30.1005,67.9374,21.54,35,24,1.03,PK,1698516780
244,port-gentil,-0.7193,8.7815,26.59,83,8,4.39,GA,1698516780
245,naze,28.3667,129.4833,19.23,64,3,5.04,JP,1698516780
246,lodja,-3.4833,23.4333,22.48,90,84,0.19,CD,1698516780
247,cobija,-11.0267,-68.7692,32.1,66,40,5.14,BO,1698516781
248,karaton,-6.3424,106.1045,24.14,80,80,0.4,ID,1698516781
249,kidal,18.4411,1.4078,32.04,9,15,4.11,ML,1698516781
250,rocha,-34.4833,-54.3333,26.34,46,18,2.82,UY,1698516781
251,dhuusamarreeb,5.535,46.3861,27.1,71,100,7.42,SO,1698516781
252,madalena,41.2162,-8.3345,17.32,93,100,7.74,PT,1698516782
253,usogorsk,63.4106,48.6872,-3.52,83,100,4.33,RU,1698516782
254,itoman,26.1247,127.6694,21.01,64,1,1.54,JP,1698516782
255,argostolion,38.1811,20.489,23.19,56,20,0.0,GR,1698516782
256,crane,31.3974,-102.3501,23.36,71,95,9.16,US,1698516783
257,susuman,62.7833,148.1667,-17.23,99,95,0.45,RU,1698516783
258,caaguazu,-25.45,-56.0167,25.24,90,99,3.06,PY,1698516783
259,borogontsy,62.6683,131.1683,-7.59,89,82,4.61,RU,1698516783
260,ambodifotatra,-16.9833,49.85,25.62,83,7,3.33,MG,1698516783
261,kumbo,6.2,10.6667,16.81,84,35,0.65,CM,1698516784
262,polyarnyy,69.1989,33.4478,-4.57,88,100,1.65,RU,1698516784
263,dryden,49.7833,-92.7503,-1.84,86,100,6.17,CA,1698516784
264,brookings,44.3114,-96.7984,-2.57,81,100,3.09,US,1698516784
265,labrador city,52.9463,-66.9114,2.95,81,75,7.2,CA,1698516785
266,aswan,24.0934,32.907,27.94,44,47,6.35,EG,1698516785
267,kenema,7.8767,-11.1875,24.93,93,72,0.93,SL,1698516785
268,axim,4.8699,-2.2405,26.28,80,23,2.47,GH,1698516785
269,talcahuano,-36.7167,-73.1167,12.68,91,100,10.47,CL,1698516786
270,champerico,14.3,-91.9167,32.3,75,43,5.01,GT,1698516786
271,barah,13.7,30.3667,28.19,54,82,6.29,SD,1698516623
272,sisimiut,66.9395,-53.6735,-4.2,81,89,5.16,GL,1698516786
273,thunder bay,48.4001,-89.3168,2.16,55,83,4.29,CA,1698516683
274,necochea,-38.5473,-58.7368,26.4,38,37,5.91,AR,1698516787
275,port douglas,-16.4833,145.4667,23.2,76,85,5.32,AU,1698516787
276,eyl,7.9803,49.8164,27.1,75,96,7.33,SO,1698516787
277,midvagur,62.0511,-7.1939,7.46,70,75,4.63,FO,1698516787
278,chonchi,-42.6128,-73.8092,10.07,76,71,6.46,CL,1698516788
279,fale old settlement,-9.3852,-171.2468,28.42,74,24,4.73,TK,1698516788
280,yarmouth,41.7057,-70.2286,26.26,71,0,6.69,US,1698516788
281,ilulissat,69.2167,-51.1,-3.99,80,40,5.14,GL,1698516788
282,menongue,-14.6585,17.691,21.8,56,98,3.18,AO,1698516790
283,zhangzhou,24.5133,117.6556,20.43,85,99,0.41,CN,1698516759
284,nizhniy kuranakh,58.8353,125.4869,-1.3,96,100,3.77,RU,1698516790
285,cold lake,54.4502,-110.2017,-3.03,80,100,6.69,CA,1698516790
286,goundam,16.4145,-3.6708,34.91,8,10,2.44,ML,1698516791
287,kapuskasing,49.4169,-82.4331,-1.95,80,100,6.17,CA,1698516791
288,namtsy,62.7161,129.6658,-6.35,87,100,4.29,RU,1698516791
289,bathsheba,13.2167,-59.5167,29.36,74,90,5.2,BB,1698516791
290,johi,26.6921,67.6133,28.82,25,10,1.15,PK,1698516791
291,ivdel',60.6911,60.4206,-3.78,81,50,1.79,RU,1698516792
292,tambopata,-12.7333,-69.1833,26.94,78,75,1.54,PE,1698516792
293,tauberbischofsheim,49.6247,9.6628,11.84,97,100,3.34,DE,1698516792
294,portland,45.5234,-122.6762,9.99,56,0,4.92,US,1698516450
295,monrovia,6.3005,-10.7969,27.87,80,60,3.27,LR,1698516793
296,egilsstadir,65.2653,-14.3948,0.95,93,40,3.09,IS,1698516712
